Year,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Off Pts Rank,Off Yds Rank,Def Pts Rank,Def Yds Rank,T/G,Pts_diff,Yds_diff,MoV,SoS,SRS,OSRS,DSRS
2017,CLE,0,16,0,4th of 4,,234,410,-176,32,24,31,14,32,32,20,-11.0,0.0,-11.0,-6.8,-4.1
2016,CLE,1,15,0,4th of 4,,264,452,-188,31,30,30,31,29,32,31,-11.8,1.7,-10.1,-5.2,-4.9
2015,CLE,3,13,0,4th of 4,,278,432,-154,30,25,29,27,28,32,28,-9.6,3.5,-6.1,-3.2,-2.9
2014,CLE,7,9,0,4th of 4,,299,337,-38,27,23,9,23,9,25,26,-2.4,-1.5,-3.9,-4.8,0.9
2013,CLE,4,12,0,4th of 4,,308,406,-98,27,18,23,9,25,27,15,-6.1,-1.6,-7.7,-4.8,-2.9
2012,CLE,5,11,0,4th of 4,,302,368,-66,24,25,19,23,12,24,29,-4.1,-1.2,-5.3,-4.6,-0.7
2021,DAL,12,5,0,1st of 4,Lost WC,530,358,172,1,1,7,19,1,2,4,10.1,-0.2,9.9,8.2,1.7
2020,DAL,6,10,0,3rd of 4,,395,473,-78,17,14,28,23,21,25,21,-4.9,-0.2,-5.1,1.0,-6.1
2019,DAL,8,8,0,2nd of 4,,434,321,113,6,1,11,9,18,6,2,7.1,-1.8,5.3,3.8,1.5
2018,DAL,10,6,0,1st of 4,Lost Div,339,324,15,22,22,6,7,12,14,15,0.9,0.2,1.1,-1.9,2.9
2017,DAL,9,7,0,2nd of 4,,354,332,22,14,14,13,8,16,15,11,1.4,0.2,1.6,0.4,1.2
2016,DAL,13,3,0,1st of 4,Lost Div,421,306,115,5,5,5,14,9,3,6,7.2,-0.2,7.0,4.1,2.9
2015,DAL,4,12,0,4th of 4,,275,374,-99,31,22,16,17,32,29,20,-6.2,-0.7,-6.9,-7.0,0.1
2014,DAL,12,4,0,1st of 4,Lost Div,467,352,115,5,7,15,19,9,5,7,7.2,-1.8,5.4,5.3,0.1
2013,DAL,8,8,0,2nd of 4,,439,432,7,5,16,26,32,9,15,31,0.4,-1.1,-0.7,2.7,-3.4
2012,DAL,8,8,0,3rd of 4,,376,400,-24,15,6,24,19,27,19,10,-1.5,1.8,0.3,1.4,-1.2
2021,DEN,7,10,0,4th of 4,,335,322,13,23,19,3,8,15,17,17,0.8,-1.3,-0.5,-4.7,4.2
2020,DEN,5,11,0,4th of 4,,323,446,-123,28,23,25,21,32,29,26,-7.7,1.7,-6.0,-4.3,-1.7
2019,DEN,7,9,0,2nd of 4,,282,316,-34,28,28,10,12,13,21,25,-2.1,0.0,-2.1,-4.8,2.7
2018,DEN,6,10,0,3rd of 4,,329,349,-20,24,19,13,22,8,18,23,-1.3,0.7,-0.5,-3.6,3.1
2017,DEN,5,11,0,4th of 4,,289,382,-93,27,17,22,3,31,27,8,-5.8,-0.9,-6.7,-3.9,-2.9
